gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,contrast,contrast_name,pct_cells_neoplastic,pct_cells_normal,pct_cells_smm_neoplastic,pct_cells_nbm_normal,patient_prevalence,recurrence_n_samples,recurrence_frac,recurrence_denom,recurrence_smm_n,recurrence_smm_denom,mgus_coverage_n,mgus_coverage_frac,mgus_coverage_denom,smm_coverage_n,smm_coverage_frac,smm_coverage_denom,mm_coverage_n,mm_coverage_frac,mm_coverage_denom,smmh_coverage_n,smmh_coverage_frac,smmh_coverage_denom,smml_coverage_n,smml_coverage_frac,smml_coverage_denom,mm_retained
ALG2,157.5871347144592,0.720595925231373,0.204289895097736,3.527320452568771,0.0004197883633669821,0.007294942073566754,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.32668000842637457,0.19493158604740798,0.3622822519565766,0.1895368782161235,1.0,10,0.9090909090909091,11,5,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
SEC61B,3027.2905234343166,0.04444666144406043,0.15185756607436166,0.29268651271742224,0.7697617799629177,0.8853466264336772,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.9702443648620181,0.9631913663518983,0.9736177732895733,0.9667667238421955,1.0,9,0.8181818181818182,11,4,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
NAMA,0.051201651687586856,1.4148603156585011,3.306737187555929,0.42787201867235497,0.6687442999508777,,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0005793132504739836,0.0,0.0005049229992426155,0.0,0.13043478260869565,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
NR4A3,6.0085329350891765,-1.0110743246007963,0.6427239405942183,-1.5731082362764122,0.11569375814636024,0.3050068824754204,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.005898462186644196,0.01088841780689921,0.005427922241858117,0.011149228130360206,0.6086956521739131,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
STX17-AS1,6.730344336149968,1.1541133987310568,0.40214753123513297,2.8698756279477307,0.004106332795545582,0.03664923230565333,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.02096060669896777,0.007226825978030449,0.02385761171421358,0.007182675814751287,0.782608695652174,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
STX17,52.106021915543536,0.44391286095554283,0.20763605084100362,2.1379373146307192,0.032521831218847885,0.13966739918792037,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.12623762376237624,0.08026594719599152,0.13203736430194396,0.08104631217838765,1.0,10,0.9090909090909091,11,5,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
RP11-60I3.4,1.351540173130851,1.057357781965855,1.086272113240599,0.9733820550833384,0.3303634542312047,0.5628655235702036,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.001948599115230672,0.0009635767970707265,0.0017672304973491543,0.0008576329331046312,0.30434782608695654,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
ERP44,356.65385461693785,-0.029035298715958714,0.18601523070913908,-0.15609097494473168,0.875961312119233,0.9411623754365426,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.43748683378976194,0.4347658508383118,0.49431961625852056,0.4324614065180103,1.0,6,0.5454545454545454,11,2,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
INVS,4.581028766360363,0.9599377755348228,0.43335363877405614,2.215137221993697,0.02675064726174494,0.12287582560143445,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.013534864124710343,0.0061668915012526495,0.01565261297652108,0.00589622641509434,0.7391304347826086,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
TEX10,12.034737545822148,0.5450545665760957,0.3385784927305647,1.6098322199391484,0.1074344892301256,0.2918728277436719,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.03665472930271751,0.018211601464636733,0.031178995203231506,0.01672384219554031,0.8695652173913043,2,0.18181818181818182,11,0,5,1,0.3333333333333333,3,2,0.16666666666666666,12,4,0.5,8,1,0.1111111111111111,9,1,0.3333333333333333,3,True
