names,scores,logfoldchanges,pvals,pvals_adj
TTC23L,0.05230535,18.492178,0.9582853919195042,1.0
RP5-1069C8.2,0.05230535,18.492178,0.9582853919195042,1.0
IL1A,0.05230535,18.492178,0.9582853919195042,1.0
XAGE5,0.05230535,18.68486,0.9582853919195042,1.0
SLC25A21,0.05230535,18.492178,0.9582853919195042,1.0
RP11-412P11.1,0.05230535,18.68486,0.9582853919195042,1.0
SLC7A4,0.05230535,18.492178,0.9582853919195042,1.0
GRK7,0.05230535,18.492178,0.9582853919195042,1.0
MID1IP1-AS1,0.05230535,18.492178,0.9582853919195042,1.0
LINC01284,0.05230535,18.492178,0.9582853919195042,1.0
MLIP-AS1,0.05230535,18.492178,0.9582853919195042,1.0
RBFOX1,0.05230535,18.492178,0.9582853919195042,1.0
FLJ46066,0.05230535,18.492178,0.9582853919195042,1.0
DPYD-AS1,0.05230535,18.492178,0.9582853919195042,1.0
HFM1,0.05230535,18.492178,0.9582853919195042,1.0
LINC00871,0.05230535,18.492178,0.9582853919195042,1.0
RP11-292E2.1,0.05230535,18.492178,0.9582853919195042,1.0
ST8SIA5,0.05230535,18.492178,0.9582853919195042,1.0
TMEM169,0.05230535,18.492178,0.9582853919195042,1.0
LINC01497,0.05230535,18.68486,0.9582853919195042,1.0
GPHA2,0.05230535,18.492178,0.9582853919195042,1.0
RP11-305F18.1,0.05230535,18.492178,0.9582853919195042,1.0
AC005276.1,0.05230535,18.492178,0.9582853919195042,1.0
TMEM132E,0.05230535,18.492178,0.9582853919195042,1.0
PCDHB6,0.05230535,18.492178,0.9582853919195042,1.0
RP11-106M7.1,0.05230535,18.492178,0.9582853919195042,1.0
GRID2,0.05230535,18.492178,0.9582853919195042,1.0
CUX2,0.05230535,18.68486,0.9582853919195042,1.0
AC114730.7,0.05230535,18.492178,0.9582853919195042,1.0
RP11-256I23.2,0.05230535,18.492178,0.9582853919195042,1.0
C10orf67,0.05230535,18.492178,0.9582853919195042,1.0
HAS2,0.05230535,18.492178,0.9582853919195042,1.0
CTB-50L17.9,0.05230535,18.492178,0.9582853919195042,1.0
ARAP1-AS2,0.05230535,18.492178,0.9582853919195042,1.0
RP11-167P20.1,0.05230535,18.492178,0.9582853919195042,1.0
RP11-545H22.1,0.05230535,18.492178,0.9582853919195042,1.0
MFHAS1,0.051881265,0.20149857,0.9586233014717401,1.0
UBE2E2-AS1,0.051881265,0.20149857,0.9586233014717401,1.0
KIAA0391,0.051860385,0.17761382,0.9586399389766953,1.0
LINC00504,0.051694784,0.21985121,0.9587718922396643,1.0
MBNL1-AS1,0.051407505,-0.051068906,0.9590008051429199,1.0
MPZL2,0.051387344,0.5762742,0.9590168693334711,1.0
ABCB6,0.051363584,0.4241572,0.9590358021508424,1.0
CTD-2574D22.2,0.051363584,0.4241572,0.9590358021508424,1.0
NARFL,0.0512491,0.039882142,0.9591270242309397,1.0
TECPR2,0.051210944,0.02947478,0.959157431709965,1.0
RP3-406P24.4,0.051201582,0.89427215,0.9591648901572936,1.0
NHEJ1,0.051197983,0.80677146,0.9591677587918332,1.0
WASF3,0.051197983,0.80677146,0.9591677587918332,1.0
RP11-129M6.1,0.051197983,0.80677146,0.9591677587918332,1.0
CCNB3,0.051197983,0.80677146,0.9591677587918332,1.0
RP11-109E12.1,0.051197983,0.80677146,0.9591677587918332,1.0
CTD-2017C7.2,0.051197983,0.80677146,0.9591677587918332,1.0
HEATR4,0.051197983,0.80677146,0.9591677587918332,1.0
