gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
ENPP4,"bone marrow, spinal cord",2,0.0096039450533018,3_vital
ENPP5,epididymis,1,,2_restricted
ENPP6,"kidney, spinal cord",2,,3_vital
ENPP7,small intestine,1,,2_restricted
ENSA,esophagus,1,,2_restricted
ENSG00000111780,colon,1,,2_restricted
ENSG00000131152,skeletal muscle,1,,3_vital
ENSG00000142539,"appendix, spleen",2,1.976113264408973e-09,1a_lymphoid
ENSG00000144785,,0,,4_broad
ENSG00000170846,,0,,4_broad
ENSG00000173366,"cerebellum, skeletal muscle",2,,3_vital
ENSG00000173867,ovary,1,,2_restricted
ENSG00000187186,testis,1,,1b_testis_CT
ENSG00000188897,spleen,1,2.1855325027221113e-16,1a_lymphoid
ENSG00000196826,,0,,4_broad
ENSG00000197991,"cerebral cortex, testis",2,,3_vital
ENSG00000198211,testis,1,,1b_testis_CT
ENSG00000203546,"adipose tissue, skeletal muscle",2,,3_vital
ENSG00000206549,"pituitary gland, skeletal muscle, thyroid gland",3,,3_vital
ENSG00000225528,thymus,1,8.176100877979767e-17,1a_lymphoid
ENSG00000226690,fallopian tube,1,,2_restricted
ENSG00000230707,"adrenal gland, basal ganglia",2,,3_vital
ENSG00000233757,testis,1,,1b_testis_CT
ENSG00000235007,"spleen, thymus",2,0.00271588124027003,1a_lymphoid
ENSG00000236543,skin,1,,2_restricted
ENSG00000237378,breast,1,,2_restricted
ENSG00000239395,testis,1,,1b_testis_CT
ENSG00000241489,"epididymis, pituitary gland",2,,3_vital
ENSG00000241690,testis,1,,1b_testis_CT
ENSG00000244255,liver,1,,3_vital
ENSG00000248235,spleen,1,9.208532093613018e-06,1a_lymphoid
ENSG00000248751,"cerebral cortex, esophagus",2,,3_vital
ENSG00000248993,"small intestine, thyroid gland",2,,2_restricted
ENSG00000249141,pancreas,1,,3_vital
ENSG00000249209,,0,,4_broad
ENSG00000249240,"appendix, spleen",2,4.1438857670713386e-05,1a_lymphoid
ENSG00000249319,liver,1,,3_vital
ENSG00000249590,retina,1,,3_vital
ENSG00000249624,,0,,4_broad
ENSG00000249773,testis,1,,1b_testis_CT
ENSG00000249967,tongue,1,,2_restricted
ENSG00000250264,spleen,1,0.00012173976727076124,1a_lymphoid
ENSG00000250349,skeletal muscle,1,,3_vital
ENSG00000250424,blood vessel,1,,2_restricted
ENSG00000250644,adrenal gland,1,,3_vital
ENSG00000250803,testis,1,,1b_testis_CT
ENSG00000251012,testis,1,,1b_testis_CT
ENSG00000251184,"retina, skeletal muscle",2,,3_vital
ENSG00000251357,pancreas,1,,3_vital
ENSG00000251537,esophagus,1,,2_restricted
ENSG00000251569,retina,1,,3_vital
ENSG00000254692,adrenal gland,1,,3_vital
ENSG00000254706,salivary gland,1,,2_restricted
ENSG00000254979,bone marrow,1,6.822578760990761e-07,1a_lymphoid
ENSG00000255432,skeletal muscle,1,,3_vital
ENSG00000255439,,0,,4_broad
ENSG00000255639,"rectum, tongue",2,,2_restricted
ENSG00000255641,"amygdala, hippocampal formation",2,,3_vital
ENSG00000255730,"bone marrow, skin",2,8.098951590675748e-05,1a_lymphoid
ENSG00000255835,"cerebellum, cerebral cortex",2,,3_vital
ENSG00000256349,retina,1,,3_vital
ENSG00000256500,skeletal muscle,1,,3_vital
ENSG00000256514,liver,1,,3_vital
ENSG00000256591,bone marrow,1,0.01475097241230986,1a_lymphoid
ENSG00000256646,bone marrow,1,1.7113483574675845e-216,1a_lymphoid
ENSG00000256825,testis,1,,1b_testis_CT
ENSG00000257184,"endometrium, skeletal muscle",2,,3_vital
ENSG00000257390,testis,1,,1b_testis_CT
ENSG00000257411,,0,,4_broad
ENSG00000257767,"adipose tissue, skeletal muscle",2,,3_vital
ENSG00000257921,"choroid plexus, lymph node",2,0.03607637196019961,3_vital
ENSG00000258311,adipose tissue,1,,2_restricted
ENSG00000258417,"cerebral cortex, retina",2,,3_vital
ENSG00000258465,"liver, retina",2,,3_vital
ENSG00000258472,bone marrow,1,2.778027342473464e-14,1a_lymphoid
ENSG00000258529,testis,1,,1b_testis_CT
ENSG00000258674,basal ganglia,1,,3_vital
ENSG00000258691,esophagus,1,,2_restricted
ENSG00000258728,blood vessel,1,,2_restricted
ENSG00000258881,"retina, testis",2,,3_vital
ENSG00000258989,"epididymis, retina",2,,3_vital
ENSG00000259060,epididymis,1,,2_restricted
ENSG00000259066,skeletal muscle,1,,3_vital
ENSG00000259132,pancreas,1,,3_vital
ENSG00000259171,liver,1,,3_vital
ENSG00000259371,liver,1,,3_vital
ENSG00000259784,"bone marrow, small intestine",2,4.53309095496312e-12,1a_lymphoid
ENSG00000260007,"breast, thymus",2,1.9574989875587274e-16,1a_lymphoid
ENSG00000260170,bone marrow,1,0.004104162449580658,1a_lymphoid
ENSG00000260272,kidney,1,,3_vital
ENSG00000260342,testis,1,,1b_testis_CT
ENSG00000260371,,0,,4_broad
ENSG00000260537,,0,,4_broad
ENSG00000260643,,0,,4_broad
ENSG00000260836,,0,,4_broad
ENSG00000260861,"bone marrow, cerebral cortex, testis",3,0.029722572431142194,3_vital
ENSG00000260914,skeletal muscle,1,,3_vital
ENSG00000261130,,0,,4_broad
ENSG00000261341,testis,1,,1b_testis_CT
ENSG00000261717,"skeletal muscle, testis",2,,3_vital
ENSG00000261793,salivary gland,1,,2_restricted
ENSG00000261832,,0,,4_broad
ENSG00000262660,duodenum,1,,2_restricted
ENSG00000263020,,0,,4_broad
ENSG00000263620,cerebellum,1,,3_vital
ENSG00000264668,cerebral cortex,1,,3_vital
ENSG00000265118,thymus,1,3.385806997218569e-11,1a_lymphoid
ENSG00000265303,liver,1,,3_vital
ENSG00000266202,pancreas,1,,3_vital
ENSG00000266953,"retina, skeletal muscle",2,,3_vital
ENSG00000267001,testis,1,,1b_testis_CT
ENSG00000267140,lymph node,1,0.0007904045267806425,1a_lymphoid
ENSG00000267157,testis,1,,1b_testis_CT
ENSG00000267168,retina,1,,3_vital
ENSG00000267173,"cervix, duodenum, pancreas",3,,3_vital
ENSG00000267179,tongue,1,,2_restricted
ENSG00000267261,"duodenum, pancreas",2,,3_vital
ENSG00000267318,"skeletal muscle, tongue",2,,3_vital
ENSG00000267335,pituitary gland,1,,3_vital
ENSG00000267360,"retina, thyroid gland",2,,3_vital
ENSG00000267561,adipose tissue,1,,2_restricted
ENSG00000267618,testis,1,,1b_testis_CT
ENSG00000267740,,0,,4_broad
ENSG00000267748,salivary gland,1,,2_restricted
ENSG00000267881,colon,1,,2_restricted
ENSG00000267952,skeletal muscle,1,,3_vital
ENSG00000268083,"bone marrow, skeletal muscle",2,0.033886613590106716,3_vital
ENSG00000268133,"adipose tissue, pancreas",2,,3_vital
ENSG00000268163,"retina, skeletal muscle",2,,3_vital
ENSG00000268361,cerebellum,1,,3_vital
ENSG00000268434,"heart muscle, skeletal muscle",2,,3_vital
ENSG00000268465,retina,1,,3_vital
ENSG00000268533,"retina, skin",2,,3_vital
ENSG00000268643,retina,1,,3_vital
ENSG00000268655,pancreas,1,,3_vital
ENSG00000268750,duodenum,1,,2_restricted
ENSG00000268790,skeletal muscle,1,,3_vital
ENSG00000268870,,0,,4_broad
ENSG00000269026,"ovary, salivary gland",2,,2_restricted
ENSG00000269035,retina,1,,3_vital
ENSG00000269095,epididymis,1,,2_restricted
ENSG00000269533,tongue,1,,2_restricted
ENSG00000269547,"adrenal gland, endometrium",2,,3_vital
ENSG00000269590,"lymph node, skeletal muscle",2,0.014642657467776536,3_vital
ENSG00000269711,"bone marrow, lung",2,5.885954542623554e-06,3_vital
ENSG00000269825,,0,,4_broad
ENSG00000270249,skeletal muscle,1,,3_vital
ENSG00000270299,"cerebral cortex, heart muscle",2,,3_vital
ENSG00000271810,testis,1,,1b_testis_CT
ENSG00000272104,,0,,4_broad
ENSG00000272297,testis,1,,1b_testis_CT
ENSG00000272617,liver,1,,3_vital
ENSG00000272772,,0,,4_broad
ENSG00000272822,basal ganglia,1,,3_vital
ENSG00000273047,liver,1,,3_vital
ENSG00000273049,skeletal muscle,1,,3_vital
ENSG00000273088,epididymis,1,,2_restricted
ENSG00000273154,adrenal gland,1,,3_vital
ENSG00000273155,"heart muscle, skeletal muscle",2,,3_vital
ENSG00000273171,liver,1,,3_vital
ENSG00000273217,,0,,4_broad
ENSG00000273291,testis,1,,1b_testis_CT
ENSG00000274944,testis,1,,1b_testis_CT
ENSG00000275163,fallopian tube,1,,2_restricted
ENSG00000275674,"duodenum, pancreas",2,,3_vital
ENSG00000275740,testis,1,,1b_testis_CT
ENSG00000275778,,0,,4_broad
ENSG00000276302,,0,,4_broad
ENSG00000277535,testis,1,,1b_testis_CT
ENSG00000277639,choroid plexus,1,,3_vital
ENSG00000278263,urinary bladder,1,,2_restricted
ENSG00000278646,testis,1,,1b_testis_CT
ENSG00000279983,epididymis,1,,2_restricted
ENSG00000280571,retina,1,,3_vital
ENSG00000280778,testis,1,,1b_testis_CT
ENSG00000281039,"bone marrow, choroid plexus",2,0.011314093802056165,3_vital
ENSG00000281179,"thymus, tonsil",2,5.599952960852562e-06,1a_lymphoid
ENSG00000281613,testis,1,,1b_testis_CT
ENSG00000282218,"epididymis, lung",2,,3_vital
ENSG00000282278,tongue,1,,2_restricted
ENSG00000282804,"appendix, spleen",2,2.4905506379040238e-06,1a_lymphoid
ENSG00000282936,"cerebral cortex, ovary",2,,3_vital
ENSG00000282988,"esophagus, prostate",2,,2_restricted
ENSG00000283149,"choroid plexus, liver",2,,3_vital
ENSG00000283189,skeletal muscle,1,,3_vital
ENSG00000283201,epididymis,1,,2_restricted
ENSG00000283205,testis,1,,1b_testis_CT
ENSG00000283208,bone marrow,1,6.875242802561946e-11,1a_lymphoid
ENSG00000283321,"cervix, urinary bladder",2,,2_restricted
ENSG00000283536,retina,1,,3_vital
ENSG00000283599,testis,1,,1b_testis_CT
ENSG00000283761,"choroid plexus, retina",2,,3_vital
ENSG00000283765,spinal cord,1,,3_vital
ENSG00000283782,,0,,4_broad
ENSG00000283809,"kidney, retina",2,,3_vital
ENSG00000283886,thyroid gland,1,,2_restricted
ENSG00000283952,testis,1,,1b_testis_CT
ENSG00000284057,kidney,1,,3_vital
ENSG00000284188,testis,1,,1b_testis_CT
ENSG00000284292,"appendix, duodenum",2,0.03637302498072701,1a_lymphoid
ENSG00000284512,testis,1,,1b_testis_CT
ENSG00000284526,skeletal muscle,1,,3_vital
ENSG00000284554,spleen,1,3.840238851567052e-16,1a_lymphoid
ENSG00000284684,retina,1,,3_vital
ENSG00000284691,,0,,4_broad
ENSG00000284732,"bone marrow, retina",2,2.1406053406881705e-10,3_vital
ENSG00000284762,thyroid gland,1,,2_restricted
ENSG00000284773,,0,,4_broad
ENSG00000284776,,0,,4_broad
ENSG00000284779,liver,1,,3_vital
ENSG00000284797,"colon, small intestine",2,,2_restricted
ENSG00000284895,lung,1,,3_vital
ENSG00000284931,placenta,1,,2_restricted
ENSG00000284934,adrenal gland,1,,3_vital
ENSG00000284956,"gallbladder, testis",2,,2_restricted
ENSG00000284969,choroid plexus,1,,3_vital
ENSG00000284976,esophagus,1,,2_restricted
ENSG00000285025,skeletal muscle,1,,3_vital
ENSG00000285043,tongue,1,,2_restricted
ENSG00000285082,retina,1,,3_vital
ENSG00000285085,,0,,4_broad
ENSG00000285130,"pancreas, tongue",2,,3_vital
ENSG00000285133,skeletal muscle,1,,3_vital
ENSG00000285188,cerebral cortex,1,,3_vital
ENSG00000285218,cerebral cortex,1,,3_vital
ENSG00000285245,ovary,1,,2_restricted
ENSG00000285253,salivary gland,1,,2_restricted
ENSG00000285283,"colon, retina",2,,3_vital
ENSG00000285304,,0,,4_broad
ENSG00000285330,liver,1,,3_vital
ENSG00000285382,"cerebellum, retina",2,,3_vital
ENSG00000285404,"cerebral cortex, liver, rectum, smooth muscle",4,,3_vital
ENSG00000285446,spleen,1,2.6808889476586576e-11,1a_lymphoid
ENSG00000285458,"skin, tongue",2,,2_restricted
ENSG00000285471,"placenta, testis",2,,2_restricted
ENSG00000285526,"choroid plexus, salivary gland",2,,3_vital
ENSG00000285547,epididymis,1,,2_restricted
ENSG00000285566,breast,1,,2_restricted
ENSG00000285585,"choroid plexus, liver",2,,3_vital
ENSG00000285625,skeletal muscle,1,,3_vital
ENSG00000285655,"amygdala, basal ganglia, cerebral cortex",3,,3_vital
ENSG00000285708,bone marrow,1,3.5037330510284885e-19,1a_lymphoid
ENSG00000285733,bone marrow,1,0.004826405968248186,1a_lymphoid
ENSG00000285749,testis,1,,1b_testis_CT
ENSG00000285772,testis,1,,1b_testis_CT
ENSG00000285827,bone marrow,1,1.077504377493354e-17,1a_lymphoid
ENSG00000285837,"gallbladder, lung",2,,3_vital
ENSG00000285868,colon,1,,2_restricted
ENSG00000285880,"ovary, testis",2,,2_restricted
ENSG00000285920,,0,,4_broad
ENSG00000285938,skeletal muscle,1,,3_vital
ENSG00000285947,pituitary gland,1,,3_vital
ENSG00000285953,testis,1,,1b_testis_CT
ENSG00000285976,"liver, skeletal muscle",2,,3_vital
ENSG00000285982,"retina, testis",2,,3_vital
ENSG00000286015,cerebral cortex,1,,3_vital
ENSG00000286022,"esophagus, fallopian tube",2,,2_restricted
ENSG00000286098,,0,,4_broad
ENSG00000286112,cerebellum,1,,3_vital
ENSG00000286131,choroid plexus,1,,3_vital
ENSG00000286135,epididymis,1,,2_restricted
ENSG00000286143,skeletal muscle,1,,3_vital
ENSG00000286165,"choroid plexus, skeletal muscle",2,,3_vital
ENSG00000286185,,0,,4_broad
ENSG00000286190,"hypothalamus, pituitary gland",2,,3_vital
ENSG00000286221,"adipose tissue, appendix, skeletal muscle",3,0.0006146719758324831,3_vital
ENSG00000286224,pituitary gland,1,,3_vital
ENSG00000286235,,0,,4_broad
ENSG00000286264,,0,,4_broad
ENSG00000286268,retina,1,,3_vital
ENSG00000287585,testis,1,,1b_testis_CT
ENSG00000287856,skin,1,,2_restricted
ENSG00000288000,"cerebellum, cerebral cortex, parathyroid gland",3,,3_vital
ENSG00000288053,epididymis,1,,2_restricted
ENSG00000288520,pancreas,1,,3_vital
ENSG00000288529,,0,,4_broad
ENSG00000288570,"endometrium, stomach",2,,2_restricted
ENSG00000288608,,0,,4_broad
ENSG00000288614,,0,,4_broad
ENSG00000288623,skeletal muscle,1,,3_vital
ENSG00000288625,kidney,1,,3_vital
ENSG00000288626,"adipose tissue, skeletal muscle",2,,3_vital
ENSG00000288629,,0,,4_broad
ENSG00000288634,bone marrow,1,3.4571822911380745e-15,1a_lymphoid
ENSG00000288635,testis,1,,1b_testis_CT
ENSG00000288636,colon,1,,2_restricted
ENSG00000288637,pancreas,1,,3_vital
ENSG00000288644,"endometrium, retina",2,,3_vital
ENSG00000288645,"colon, pancreas",2,,3_vital
ENSG00000288646,skeletal muscle,1,,3_vital
ENSG00000288654,skeletal muscle,1,,3_vital
ENSG00000288658,"cerebral cortex, hippocampal formation",2,,3_vital
ENSG00000288661,blood vessel,1,,2_restricted
ENSG00000288671,"bone marrow, stomach",2,7.194361018193167e-07,1a_lymphoid
ENSG00000288678,,0,,4_broad
ENSG00000288681,colon,1,,2_restricted
ENSG00000288684,,0,,4_broad
ENSG00000288695,"skeletal muscle, spinal cord",2,,3_vital
ENTHD1,testis,1,,1b_testis_CT
ENTPD1,"blood vessel, smooth muscle",2,,2_restricted
ENTPD2,,0,,4_broad
ENTPD3,"basal ganglia, cervix, salivary gland",3,,3_vital
ENTPD4,,0,,4_broad
ENTPD5,liver,1,,3_vital
ENTPD6,basal ganglia,1,,3_vital
ENTPD7,"duodenum, small intestine",2,,2_restricted
ENTPD8,"duodenum, small intestine",2,,2_restricted
ENTR1,liver,1,,3_vital
ENTREP1,"skeletal muscle, thyroid gland",2,,3_vital
ENTREP2,"amygdala, cerebral cortex, hippocampal formation",3,,3_vital
ENTREP3,,0,,4_broad
ENY2,liver,1,,3_vital
EOGT,blood vessel,1,,2_restricted
EOLA1,adrenal gland,1,,3_vital
EOLA2,adrenal gland,1,,3_vital
EOMES,"cerebellum, lymph node, spleen",3,0.000918339976413443,3_vital
EP300,bone marrow,1,7.858274401362656e-12,1a_lymphoid
EP400,,0,,4_broad
EPAS1,"lung, placenta",2,,3_vital
EPB41,"retina, thymus",2,0.02022985052984037,3_vital
EPB41L1,adrenal gland,1,,3_vital
EPB41L2,retina,1,,3_vital
EPB41L3,,0,,4_broad
EPB41L4A,,0,,4_broad
EPB41L4B,pancreas,1,,3_vital
EPB41L5,liver,1,,3_vital
EPB42,bone marrow,1,3.6150215256795943e-60,1a_lymphoid
EPC1,bone marrow,1,1.884477306556886e-28,1a_lymphoid
EPC2,bone marrow,1,1.16967620901718e-08,1a_lymphoid
EPCAM,"colon, duodenum, rectum, small intestine",4,,2_restricted
EPDR1,skeletal muscle,1,,3_vital
EPG5,bone marrow,1,3.3187736573493167e-06,1a_lymphoid
EPGN,esophagus,1,,2_restricted
EPHA1,parathyroid gland,1,,2_restricted
EPHA10,"colon, testis",2,,2_restricted
EPHA2,esophagus,1,,2_restricted
EPHA3,prostate,1,,2_restricted
EPHA4,cerebral cortex,1,,3_vital
EPHA5,cerebral cortex,1,,3_vital
EPHA6,testis,1,,1b_testis_CT
EPHA7,parathyroid gland,1,,2_restricted
EPHA8,choroid plexus,1,,3_vital
EPHB1,"basal ganglia, cerebellum",2,,3_vital
EPHB2,"colon, duodenum, rectum, small intestine",4,,2_restricted
EPHB3,skin,1,,2_restricted
EPHB4,,0,,4_broad
EPHB6,"cerebral cortex, skin",2,,3_vital
EPHX1,"adrenal gland, liver",2,,3_vital
EPHX2,liver,1,,3_vital
EPHX3,"esophagus, skin",2,,2_restricted
EPHX4,"basal ganglia, cerebral cortex",2,,3_vital
EPM2A,"skeletal muscle, tongue",2,,3_vital
EPM2AIP1,retina,1,,3_vital
EPN1,,0,,4_broad
EPN2,,0,,4_broad
EPN3,"esophagus, stomach",2,,2_restricted
EPO,liver,1,,3_vital
EPOP,"cerebral cortex, testis",2,,3_vital
EPOR,thyroid gland,1,,2_restricted
EPPIN,epididymis,1,,2_restricted
EPPIN-WFDC6,"epididymis, testis",2,,2_restricted
EPPK1,skin,1,,2_restricted
EPRS1,salivary gland,1,,2_restricted
EPS15,,0,,4_broad
EPS15L1,skeletal muscle,1,,3_vital
EPS8,blood vessel,1,,2_restricted
EPS8L1,esophagus,1,,2_restricted
EPS8L2,esophagus,1,,2_restricted
EPS8L3,"duodenum, small intestine",2,,2_restricted
EPSTI1,,0,,4_broad
EPX,bone marrow,1,2.322839673687562e-55,1a_lymphoid
EPYC,placenta,1,,2_restricted
EQTN,testis,1,,1b_testis_CT
ERAL1,skeletal muscle,1,,3_vital
ERAP1,,0,,4_broad
ERAP2,"lymph node, thymus",2,0.008578857731839104,1a_lymphoid
ERAS,"cerebellum, hypothalamus",2,,3_vital
ERBB2,,0,,4_broad
ERBB3,,0,,4_broad
ERBB4,fallopian tube,1,,2_restricted
ERBIN,,0,,4_broad
ERC1,cerebellum,1,,3_vital
ERC2,cerebral cortex,1,,3_vital
ERCC1,heart muscle,1,,3_vital
ERCC2,testis,1,,1b_testis_CT
ERCC3,skeletal muscle,1,,3_vital
ERCC4,skeletal muscle,1,,3_vital
ERCC5,,0,,4_broad
ERCC6,parathyroid gland,1,,2_restricted
ERCC6L,"bone marrow, thymus",2,0.0015505240712438068,1a_lymphoid
ERCC6L2,thymus,1,0.029281945409375378,1a_lymphoid
ERCC8,,0,,4_broad
EREG,bone marrow,1,2.6866185532779035e-39,1a_lymphoid
ERF,,0,,4_broad
ERFE,thyroid gland,1,,2_restricted
ERFL,"lymph node, spleen",2,0.011908812613334109,1a_lymphoid
ERG,blood vessel,1,,2_restricted
ERG28,liver,1,,3_vital
ERGIC1,liver,1,,3_vital
ERGIC2,,0,,4_broad
ERGIC3,"choroid plexus, epididymis",2,,3_vital
ERH,thymus,1,0.0006280847396970019,1a_lymphoid
ERI1,"bone marrow, retina",2,0.000585919746582498,3_vital
ERI2,"parathyroid gland, testis",2,,2_restricted
ERI3,,0,,4_broad
ERICH1,bone marrow,1,0.019435468660042306,1a_lymphoid
ERICH2,testis,1,,1b_testis_CT
ERICH3,"fallopian tube, testis",2,,2_restricted
ERICH4,"duodenum, small intestine",2,,2_restricted
ERICH5,pancreas,1,,3_vital
ERICH6,testis,1,,1b_testis_CT
ERICH6B,testis,1,,1b_testis_CT
ERLEC1,epididymis,1,,2_restricted
ERLIN1,"bone marrow, liver",2,0.04628889507521831,3_vital
ERLIN2,thyroid gland,1,,2_restricted
ERMAP,bone marrow,1,1.303293995527621e-09,1a_lymphoid
ERMARD,,0,,4_broad
ERMN,spinal cord,1,,3_vital
ERMP1,parathyroid gland,1,,2_restricted
ERN1,pancreas,1,,3_vital
ERN2,stomach,1,,2_restricted
ERO1A,esophagus,1,,2_restricted
ERO1B,pancreas,1,,3_vital
ERP27,pancreas,1,,3_vital
ERP29,choroid plexus,1,,3_vital
ERP44,,0,,4_broad
ERRFI1,"liver, pancreas",2,,3_vital
ERV3-1,"adrenal gland, epididymis",2,,3_vital
ERVFRD-1,placenta,1,,2_restricted
ERVH48-1,placenta,1,,2_restricted
ERVK3-1,,0,,4_broad
ERVMER34-1,"parathyroid gland, placenta",2,,2_restricted
ERVV-1,placenta,1,,2_restricted
ERVV-2,placenta,1,,2_restricted
ERVW-1,placenta,1,,2_restricted
ESAM,,0,,4_broad
ESCO1,"bone marrow, testis",2,0.021095659488969246,1a_lymphoid
ESCO2,duodenum,1,,2_restricted
ESD,"blood vessel, liver",2,,3_vital
ESF1,spinal cord,1,,3_vital
ESM1,"kidney, thyroid gland",2,,3_vital
ESPL1,esophagus,1,,2_restricted
ESPN,"liver, testis",2,,3_vital
ESPNL,"cerebellum, small intestine",2,,3_vital
ESR1,"cervix, endometrium",2,,2_restricted
ESR2,"adrenal gland, ovary, testis",3,,3_vital
ESRP1,,0,,4_broad
ESRP2,esophagus,1,,2_restricted
ESRRA,"heart muscle, skeletal muscle",2,,3_vital
ESRRB,retina,1,,3_vital
ESRRG,"parathyroid gland, retina, stomach",3,,3_vital
ESS2,"cerebellum, testis",2,,3_vital
ESX1,testis,1,,1b_testis_CT
ESYT1,adipose tissue,1,,2_restricted
ESYT2,blood vessel,1,,2_restricted
ESYT3,skin,1,,2_restricted
ETAA1,,0,,4_broad
ETDA,testis,1,,1b_testis_CT
ETDB,testis,1,,1b_testis_CT
ETDC,skin,1,,2_restricted
ETF1,bone marrow,1,5.092748161007961e-08,1a_lymphoid
ETFA,"liver, tongue",2,,3_vital
ETFB,"heart muscle, liver",2,,3_vital
ETFBKMT,liver,1,,3_vital
ETFDH,"liver, tongue",2,,3_vital
ETFRF1,"liver, tongue",2,,3_vital
ETHE1,"colon, rectum",2,,2_restricted
ETNK1,stomach,1,,2_restricted
ETNK2,liver,1,,3_vital
ETNPPL,"amygdala, basal ganglia",2,,3_vital
ETS1,"lymph node, thymus",2,0.00048378642780299555,1a_lymphoid
ETS2,skin,1,,2_restricted
ETV1,"cerebellum, salivary gland",2,,3_vital
ETV2,testis,1,,1b_testis_CT
ETV3,skin,1,,2_restricted
ETV3L,choroid plexus,1,,3_vital
ETV4,pituitary gland,1,,3_vital
ETV5,"cerebral cortex, parathyroid gland",2,,3_vital
ETV6,bone marrow,1,0.0013258973470383663,1a_lymphoid
ETV7,"duodenum, skin",2,,2_restricted
EVA1A,liver,1,,3_vital
EVA1B,choroid plexus,1,,3_vital
EVA1C,,0,,4_broad
EVC,"kidney, ovary",2,,3_vital
EVC2,ovary,1,,2_restricted
EVI2A,spinal cord,1,,3_vital
EVI2B,"bone marrow, tonsil",2,0.005323211994434068,1a_lymphoid
EVI5,"liver, placenta",2,,3_vital
EVI5L,,0,,4_broad
EVL,,0,,4_broad
EVPL,esophagus,1,,2_restricted
EVPLL,esophagus,1,,2_restricted
EVX1,"prostate, vagina",2,,2_restricted
EVX2,testis,1,,1b_testis_CT
EWSR1,"bone marrow, thymus",2,0.001950248036564031,1a_lymphoid
EXD1,testis,1,,1b_testis_CT
EXD2,,0,,4_broad
EXD3,,0,,4_broad
EXO1,"bone marrow, thymus",2,6.177924550751491e-08,1a_lymphoid
EXO5,"thymus, tonsil",2,0.009638212303314337,1a_lymphoid
EXOC1,"esophagus, skin",2,,2_restricted
EXOC1L,basal ganglia,1,,3_vital
EXOC2,thymus,1,0.03796008243273188,1a_lymphoid
EXOC3,skeletal muscle,1,,3_vital
EXOC3L1,spleen,1,8.031266389002076e-23,1a_lymphoid
EXOC3L2,"kidney, thyroid gland",2,,3_vital
EXOC3L4,"duodenum, liver",2,,3_vital
EXOC4,"retina, skeletal muscle",2,,3_vital
EXOC5,testis,1,,1b_testis_CT
EXOC6,retina,1,,3_vital
EXOC6B,heart muscle,1,,3_vital
EXOC7,,0,,4_broad
EXOC8,"bone marrow, skeletal muscle",2,0.00032241095197264153,3_vital
EXOG,heart muscle,1,,3_vital
EXOSC1,epididymis,1,,2_restricted
EXOSC10,cerebellum,1,,3_vital
EXOSC2,,0,,4_broad
EXOSC3,testis,1,,1b_testis_CT
EXOSC4,testis,1,,1b_testis_CT
EXOSC5,skeletal muscle,1,,3_vital
EXOSC6,cerebellum,1,,3_vital
EXOSC7,skin,1,,2_restricted
EXOSC8,thymus,1,0.043399077355814435,1a_lymphoid
EXOSC9,"bone marrow, testis",2,0.007403415662347056,1a_lymphoid
EXPH5,"cerebellum, skin",2,,3_vital
EXT1,blood vessel,1,,2_restricted
EXT2,placenta,1,,2_restricted
EXTL1,"cerebral cortex, tongue",2,,3_vital
EXTL2,,0,,4_broad
EXTL3,heart muscle,1,,3_vital
EYA1,parathyroid gland,1,,2_restricted
EYA2,cervix,1,,2_restricted
EYA3,tonsil,1,0.006390857988321504,1a_lymphoid
EYA4,"skeletal muscle, tongue",2,,3_vital
EYS,retina,1,,3_vital
EZH1,retina,1,,3_vital
EZH2,thymus,1,8.897017914744824e-05,1a_lymphoid
EZHIP,testis,1,,1b_testis_CT
EZR,"choroid plexus, parathyroid gland",2,,3_vital
F10,liver,1,,3_vital
F11,liver,1,,3_vital
F11R,esophagus,1,,2_restricted
F12,liver,1,,3_vital
F13A1,placenta,1,,2_restricted
F13B,liver,1,,3_vital
F2,liver,1,,3_vital
F2R,spleen,1,0.00029466318375016777,1a_lymphoid
F2RL1,colon,1,,2_restricted
F2RL2,gallbladder,1,,2_restricted
F2RL3,lung,1,,3_vital
F3,,0,,4_broad
F5,liver,1,,3_vital
F7,liver,1,,3_vital
F8,heart muscle,1,,3_vital
F8A3,parathyroid gland,1,,2_restricted
F9,liver,1,,3_vital
FA2H,spinal cord,1,,3_vital
FAAH,,0,,4_broad
FAAH2,pancreas,1,,3_vital
FAAP100,cerebellum,1,,3_vital
FAAP20,,0,,4_broad
FAAP24,"prostate, testis",2,,2_restricted
FABP1,liver,1,,3_vital
FABP12,retina,1,,3_vital
FABP2,"duodenum, small intestine",2,,2_restricted
FABP3,"heart muscle, tongue",2,,3_vital
FABP4,"adipose tissue, breast",2,,2_restricted
FABP5,"esophagus, vagina",2,,2_restricted
FABP6,small intestine,1,,2_restricted
FABP7,cerebellum,1,,3_vital
FABP9,skin,1,,2_restricted
FADD,,0,,4_broad
FADS1,choroid plexus,1,,3_vital
FADS2,adrenal gland,1,,3_vital
FADS3,blood vessel,1,,2_restricted
FADS6,"epididymis, small intestine",2,,2_restricted
FAF1,skeletal muscle,1,,3_vital
FAF2,,0,,4_broad
FAH,liver,1,,3_vital
FAHD1,"kidney, liver",2,,3_vital
FAHD2A,"liver, salivary gland",2,,3_vital
FAHD2B,,0,,4_broad
FAIM,retina,1,,3_vital
FAIM2,cerebral cortex,1,,3_vital
FAM102A,stomach,1,,2_restricted
