gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
TSPAN9,"cerebellum, heart muscle",2,,3_vital
TSPEAR,"pituitary gland, testis",2,,3_vital
TSPO,esophagus,1,,2_restricted
TSPO2,bone marrow,1,1.4656962647486051e-64,1a_lymphoid
TSPOAP1,"amygdala, cerebral cortex",2,,3_vital
TSPY1,testis,1,,1b_testis_CT
TSPY10,testis,1,,1b_testis_CT
TSPY2,testis,1,,1b_testis_CT
TSPY3,testis,1,,1b_testis_CT
TSPY4,testis,1,,1b_testis_CT
TSPY8,testis,1,,1b_testis_CT
TSPY9,testis,1,,1b_testis_CT
TSPYL1,skeletal muscle,1,,3_vital
TSPYL2,ovary,1,,2_restricted
TSPYL4,cerebellum,1,,3_vital
TSPYL5,testis,1,,1b_testis_CT
TSPYL6,testis,1,,1b_testis_CT
TSR1,skeletal muscle,1,,3_vital
TSR2,spinal cord,1,,3_vital
TSR3,,0,,4_broad
TSSC4,testis,1,,1b_testis_CT
TSSK1B,testis,1,,1b_testis_CT
TSSK2,testis,1,,1b_testis_CT
TSSK3,testis,1,,1b_testis_CT
TSSK4,testis,1,,1b_testis_CT
TSSK6,testis,1,,1b_testis_CT
TST,liver,1,,3_vital
TSTD1,,0,,4_broad
TSTD2,,0,,4_broad
TSTD3,"adipose tissue, parathyroid gland",2,,2_restricted
TTBK1,"cerebellum, cerebral cortex",2,,3_vital
TTBK2,testis,1,,1b_testis_CT
TTC1,,0,,4_broad
TTC12,testis,1,,1b_testis_CT
TTC13,"lymph node, spleen",2,0.008164534342323757,1a_lymphoid
TTC14,retina,1,,3_vital
TTC16,testis,1,,1b_testis_CT
TTC17,pancreas,1,,3_vital
TTC19,pancreas,1,,3_vital
TTC21A,testis,1,,1b_testis_CT
TTC21B,tongue,1,,2_restricted
TTC22,esophagus,1,,2_restricted
TTC23,,0,,4_broad
TTC23L,testis,1,,1b_testis_CT
TTC24,thymus,1,9.840026855097565e-20,1a_lymphoid
TTC26,"choroid plexus, fallopian tube, testis",3,,3_vital
TTC27,,0,,4_broad
TTC28,ovary,1,,2_restricted
TTC29,testis,1,,1b_testis_CT
TTC3,,0,,4_broad
TTC30A,testis,1,,1b_testis_CT
TTC30B,fallopian tube,1,,2_restricted
TTC31,liver,1,,3_vital
TTC32,"bone marrow, retina",2,0.0010708050028153423,3_vital
TTC33,tongue,1,,2_restricted
TTC34,testis,1,,1b_testis_CT
TTC36,liver,1,,3_vital
TTC38,liver,1,,3_vital
TTC39A,testis,1,,1b_testis_CT
TTC39B,,0,,4_broad
TTC39C,"liver, retina",2,,3_vital
TTC4,skeletal muscle,1,,3_vital
TTC5,"fallopian tube, parathyroid gland",2,,2_restricted
TTC6,"prostate, testis",2,,2_restricted
TTC7A,"testis, thymus",2,0.04332570778543588,1a_lymphoid
TTC7B,"cerebellum, cerebral cortex",2,,3_vital
TTC8,ovary,1,,2_restricted
TTC9,esophagus,1,,2_restricted
TTC9B,"amygdala, cerebral cortex",2,,3_vital
TTC9C,,0,,4_broad
TTF1,"bone marrow, thymus",2,0.0009193600042895743,1a_lymphoid
TTF2,thymus,1,0.020829050863883737,1a_lymphoid
TTI1,skeletal muscle,1,,3_vital
TTI2,testis,1,,1b_testis_CT
TTK,"testis, thymus",2,2.846706233566308e-07,1a_lymphoid
TTL,"skeletal muscle, tongue",2,,3_vital
TTLL1,,0,,4_broad
TTLL10,testis,1,,1b_testis_CT
TTLL11,"skeletal muscle, spinal cord",2,,3_vital
TTLL12,esophagus,1,,2_restricted
TTLL13,testis,1,,1b_testis_CT
TTLL2,testis,1,,1b_testis_CT
TTLL3,ovary,1,,2_restricted
TTLL4,"choroid plexus, testis",2,,3_vital
TTLL5,testis,1,,1b_testis_CT
TTLL6,testis,1,,1b_testis_CT
TTLL7,cerebral cortex,1,,3_vital
TTLL8,testis,1,,1b_testis_CT
TTLL9,choroid plexus,1,,3_vital
TTN,skeletal muscle,1,,3_vital
TTPA,liver,1,,3_vital
TTPAL,liver,1,,3_vital
TTR,choroid plexus,1,,3_vital
TTYH1,"amygdala, basal ganglia",2,,3_vital
